"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.8,,
"USA","United States","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3.1,,
"OECD","OECD - Total","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.4,,
"DEU","Germany","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20,,
"USA","United States","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,19,,
"OECD","OECD - Total","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20,,
"DEU","Germany","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,72.5,,
"USA","United States","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,73.9,,
"OECD","OECD - Total","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,68.4,,
"DEU","Germany","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,77.9,,
"USA","United States","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,84,,
"OECD","OECD - Total","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,75.9,,
"DEU","Germany","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,67.4,,
"USA","United States","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,63.8,,
"OECD","OECD - Total","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,61.2,,
"DEU","Germany","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,34294,,
"USA","United States","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,45284,,
"OECD","OECD - Total","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,33604,,
"DEU","Germany","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,259667,,
"USA","United States","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,632100,,
"OECD","OECD - Total","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,408376,,
"DEU","Germany","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,75,,
"USA","United States","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,70,,
"OECD","OECD - Total","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,68,,
"DEU","Germany","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,79,,
"USA","United States","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,75,,
"OECD","OECD - Total","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,76,,
"DEU","Germany","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,72,,
"USA","United States","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,65,,
"OECD","OECD - Total","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,60,,
"DEU","Germany","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,47585,,
"USA","United States","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,60558,,
"OECD","OECD - Total","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,43241,,
"DEU","Germany","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,90,,
"USA","United States","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,91,,
"OECD","OECD - Total","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,89,,
"DEU","Germany","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,90,,
"USA","United States","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,89,,
"OECD","OECD - Total","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,88,,
"DEU","Germany","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,90,,
"USA","United States","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,92,,
"OECD","OECD - Total","SC_SNTWS","Quality of support network","L","Value","WMN","Women","PC","Percentage","0","Units",,,90,,
"DEU","Germany","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,92,,
"USA","United States","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,95,,
"OECD","OECD - Total","SC_SNTWS","Quality of support network","L","Value","HGH","High","PC","Percentage","0","Units",,,92,,
"OECD","OECD - Total","SC_SNTWS","Quality of support network","L","Value","LW","Low","PC","Percentage","0","Units",,,83,,
"DEU","Germany","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,87,,
"USA","United States","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,91,,
"OECD","OECD - Total","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,78,,
"DEU","Germany","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,88,,
"USA","United States","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,90,,
"OECD","OECD - Total","ES_EDUA","Educational attainment","L","Value","MN","Men","PC","Percentage","0","Units",,,78,,
"DEU","Germany","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,85,,
"USA","United States","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,91,,
"OECD","OECD - Total","ES_EDUA","Educational attainment","L","Value","WMN","Women","PC","Percentage","0","Units",,,79,,
"DEU","Germany","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,508,,
"USA","United States","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,488,,
"OECD","OECD - Total","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,486,,
"DEU","Germany","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,509,,
"USA","United States","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,487,,
"OECD","OECD - Total","ES_STCS","Student skills","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,485,,
"DEU","Germany","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,507,,
"USA","United States","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,488,,
"OECD","OECD - Total","ES_STCS","Student skills","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,487,,
"DEU","Germany","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,563,,
"USA","United States","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,534,,
"OECD","OECD - Total","ES_STCS","Student skills","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,539,,
"DEU","Germany","ES_STCS","Student skills","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,468,,
"USA","United States","ES_STCS","Student skills","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,450,,
"OECD","OECD - Total","ES_STCS","Student skills","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,455,,
"DEU","Germany","ES_EDUEX","Years in education","L","Value","TOT","Total","YR","Years","0","Units",,,18.1,,
"USA","United States","ES_EDUEX","Years in education","L","Value","TOT","Total","YR","Years","0","Units",,,17.2,,
"OECD","OECD - Total","ES_EDUEX","Years in education","L","Value","TOT","Total","YR","Years","0","Units",,,17.2,,
"DEU","Germany","ES_EDUEX","Years in education","L","Value","MN","Men","YR","Years","0","Units",,,18.1,,
"USA","United States","ES_EDUEX","Years in education","L","Value","MN","Men","YR","Years","0","Units",,,16.7,,
"OECD","OECD - Total","ES_EDUEX","Years in education","L","Value","MN","Men","YR","Years","0","Units",,,17,,
"DEU","Germany","ES_EDUEX","Years in education","L","Value","WMN","Women","YR","Years","0","Units",,,18.1,,
"USA","United States","ES_EDUEX","Years in education","L","Value","WMN","Women","YR","Years","0","Units",,,17.7,,
"OECD","OECD - Total","ES_EDUEX","Years in education","L","Value","WMN","Women","YR","Years","0","Units",,,17.4,,
