,,,How's Life 2020 - © OECD 2020,,,,,,,,,,,,,,,,,,,,,,
,,,Disclaimer: http://oe.cd/disclaimer,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Dimension,Income and Wealth,,,Housing,,Work and Job Quality,,,Heatlh,,Knowledge and Skills,,Environmental Quality,,Subjective Well-being,,Safety,,Work-Life Balance,,Social Connections,,Civic Engagement,
,Label,Household income,Household wealth,S80/S20 income share ratio,Housing affordability,Overcrowding rate,Employment rate,Gender wage gap,Long hours in paid work,Life expectancy,Gap in life expectancy by education,Student skills in science,Students with low skills,Access to green space,Exposure t o outdoor air pollution,Life satisfaction ,Negative affect balance,Homicides,Gender gap in feeling safe,Time off,Gender gap in hours worked,Social interactions,Lack of social support,Voter turnout,Having no say in government
,Indicator,Household net adjusted disposable income,Household median net wealth,Ratio of average (equivalised) household disposable income of the top 20% of the income distribution to the average income of the bottom 20%,Disposable income after housing costs,Overcrowding rate,Employment rate,Gender wage gap,Employees working very long (paid) hours,Life expectancy at birth,"Gap in life expectancy among men with low (no schooling, primary and lower secondary educational attainment) and high (tertiary) education at age 25",Cognitive skills of 15-year-old students in science,"Share of 15-year-old students with low scores in maths, reading and science",Access to green space,Population exposure to outdoor air pollution by fine particulate matter above World Health Organisation (WHO) Guidelines,Life satisfaction ,Negative affect balance,Deaths due to assault,Gender gap in feeling safe at night,Time allocated to leisure and personal care,"Extra minutes of total time spent working (paid and unpaid) that women work, relative to men (aged 15–64)",Time spent interacting with friends and family as primary activity,Perceived lack of social support,Voter turnout,Having no say in government
,Units,"USD at 2017 PPPs, per capita",USD at 2016 PPPs,S80/S20 ratio of household disposable income,"Share of household gross adjusted disposable income remaining, after deductions for housing rents and maintenance",Share of households living in overcrowded conditions (EU-definition),"Employed people aged 25–64, as a share of the population of the same age",Difference between male and female median wages expressed as a share of male wages,Share of employees usually working 50+ hours per week,Number of years a newborn can expect to live,Years,OECD Programme on International Students Assesment (PISA) – mean score for science,"Share of 15-year-old students below OECD Programme on International Students Assessment (PISA) level 2 in reading, maths and science",Share of urban population with access within a 10 minutes'walk,Share of population exposed to more than 10g/m3 of PM2.5,"Mean values on an 11-point scale, with responses ranging from 0 (not at all satisfied) to 10 (completely satisfied)",Share of population reporting more negative than positive feelings and states in a typical day,"Age-standardised rate, per 
100 000 population",Percentage difference that women feel less safe than men when walking alone at night in the city or area where they live,"Hours per day, people in full-time employment",Minutes per day,Hours per week,Share of people who report having no friends or relatives whom they can count on in times of trouble,Share of votes cast among the population registered to vote,Share of people aged 16–65 who feel they have no say in what the government does
,Year,2017,2016,2017,2018,2017,2018,2018,2018,2017,2011,2018,2018,2012,2017,2018,2016–18,2016,2013–18,Around 2018,Between 2005–18,Around 2018,2016–18,2016–19,Around 2012
,Indicator Type,Average,Average,Inequality,Average,Inequality,Average,Inequality,Inequality,Average,Inequality,Average,Inequality,Average,Inequality,Average,Inequality,Average,Inequality,Average,Inequality,Average,Inequality,Average,Inequality
ISO,Country,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,36632.81,251134.04,5.49,79.82,..,77.19,11.70,12.54,82.60,6.60,502.96,11.22,..,25.98,7.60,0.12,1.00,-0.30,14.36,6.44,4.67,0.06,91.01,45.71
AUT,Austria,34373.64,103482.44,4.47,78.87,0.12,77.18,15.40,6.59,81.70,6.43,489.78,13.51,98.41,87.04,8.00,0.10,0.50,-0.07,14.51,13.58,9.47,0.09,80.00,55.71
BEL,Belgium,31855.55,257759.55,3.93,79.72,0.04,72.98,3.70,4.56,81.60,..,498.77,12.49,94.89,93.53,7.60,0.14,1.10,-0.21,15.52,18.75,5.95,0.07,88.38,51.21
CAN,Canada,31572.84,193080.67,5.08,77.41,..,77.65,18.20,3.58,82.00,4.09,518.00,6.37,..,0.00,8.10,0.10,1.30,-0.20,14.57,3.67,6.27,0.07,68.28,45.78
CHL,Chile,..,41480.76,10.31,81.55,0.09,72.58,12.50,8.98,80.20,10.94,443.58,23.47,..,97.29,..,0.13,3.90,-0.11,..,..,..,0.13,46.53,20.18
COL,Colombia,..,..,..,..,..,74.86,5.80,25.89,74.60,..,413.32,39.93,..,93.21,8.26,0.14,24.30,-0.08,..,..,..,0.11,49.00,..
CZE,Czech Republic,23335.17,..,3.56,75.96,0.12,82.51,15.10,5.65,79.10,..,496.79,10.52,97.72,99.89,7.44,0.12,0.60,-0.19,..,..,..,0.08,60.84,58.99
