,0,Handle,ID,CreatedAt,Location
0,"Really excited for this event tonight. Always a joy to be in convo with my sis @milfinainteasy. Also, I am beyond t… https://t.co/QHv7oLCMnl",divafeminist,1357386255714115587,2021-02-04 17:51:17,
1,@prisonculture YES! Please- we don’t need it. We really don’t.,divafeminist,1357069269822033923,2021-02-03 20:51:41,
2,@sweetbtchesbrew Such a force. How different indeed.,divafeminist,1356411441990004738,2021-02-02 01:17:43,
3,"Rest In Peace and Power, #KarenLewis. What an incredible force. Sending my love to her loved ones and the many folk… https://t.co/vcV2LbRj9O",divafeminist,1355242388508332036,2021-01-29 19:52:19,
4,At the core of US criminal punishment system is the protection of white lives and property. Black folks have always… https://t.co/LSmXt2acz9,divafeminist,1355006374313390083,2021-01-29 04:14:29,
5,@DrMaDMo Congrats! This is huge. https://t.co/cFNLpqQFol,divafeminist,1354802164225486848,2021-01-28 14:43:01,
6,@elliottraylassi The levels and layers of terrible.,divafeminist,1354545986509692939,2021-01-27 21:45:04,
7,"@minkmak I should delete it too, but I won’t. https://t.co/myyYUC3JJB",divafeminist,1354527732542169093,2021-01-27 20:32:32,
8,@LeslieMac Every single one. Sheezus,divafeminist,1354439786098995200,2021-01-27 14:43:03,
9,@ayokayejide @deray That option was right there and yet...,divafeminist,1354077394399850496,2021-01-26 14:43:03,
10,It’s the seemingly effortless shifts between the percussive and fluid movements that gather me every time. It’s wha… https://t.co/o3NDz9ec9n,divafeminist,1353821207087489024,2021-01-25 21:45:03,
11,"A CONTEST? 

I hate it here. Folks really hate poor folks and think this is something to celebrate. Sigh https://t.co/sRo1Y3ZIFT",divafeminist,1353715004898496520,2021-01-25 14:43:02,
12,@sweetbtchesbrew She slayed that role. All puns intended. Lol,divafeminist,1352272823813890055,2021-01-21 15:12:19,
13,@soulistaphd The ASL interpreter was going awf too.,divafeminist,1332063301497466880,2020-11-26 20:46:54,
14,@soulistaphd DOWN! Edges are now non-existent.,divafeminist,1330354824609738758,2020-11-22 03:38:01,
15,@JGRunsTheCity So what you're saying is not in this lifetime? 😜,divafeminist,1316823455371755524,2020-10-15 19:29:11,
16,@taoleighgoffe It’s really that simple. 🤷🏽‍♀️,divafeminist,1303106645652918274,2020-09-07 23:03:29,
17,Thinking of you and your loved ones a lot today. We continue to #SayHerName and to fight for the decimation of this… https://t.co/riovDueebG,divafeminist,1287387637817409546,2020-07-26 14:01:46,
18,Now this is too hard for me- sheesh. I got a few for each of these categories. #JanetJacksonAppreciationDay https://t.co/hpX1fnQX28,divafeminist,1282861308401115137,2020-07-14 02:15:44,
19,Happy #JanetJacksonAppreciationDay! https://t.co/shYuSzPqh5,divafeminist,1282827312996786177,2020-07-14 00:00:39,
