,TweetText,Handle,Location,Country,Language,text_processed,Polarity,Subjectivity,Sentiment
0,"RT @z_edian: Unser @snv_berlin Expert:innenworkshop zur ""staatlichen Beantwortung von böswilligen Cyberaktivitäten"" geht langsam zuende.

D…",christinacrupp,"Bonn, Deutschland",Germany,de,"['snvberlin', 'expertinnenworkshop', 'staatlich', 'beantwort', 'boswill', 'cyberaktivitat', 'geht', 'langsam', 'zuended']",-0.35,0.0,negative
2,RT @michael_adler_: Fing gut an! Bonn braucht einen mindshift. Von der Autostadt zur Stadt für Menschen. Innenstadt ist mehr als Fußgängerz…,joscchh,"Bonn, Deutschland",Germany,de,"['fing', 'gut', 'bonn', 'braucht', 'mindshift', 'autostadt', 'stadt', 'fur', 'mensch', 'innenstadt', 'mehr', 'al', 'fugangerz']",0.25,0.25,positive
4,"Gestern haben @Lichtemomente, @askans, @michael_adler_, @barbara_bonn, Janina und ich auf Clubhouse im ersten ""Zuku… https://t.co/ixvx2WgKA3",joscchh,"Bonn, Deutschland",Germany,de,"['gest', 'lichtemoment', 'askan', 'michaeladl', 'barbarabonn', 'janina', 'clubhous', 'erst', 'zuku', 'httpstcoixvxwgka']",0.0,0.0,neutral
5,@VolkerGoebbels Macht Sinn 😏,joscchh,"Bonn, Deutschland",Germany,de,"['volkergoebbel', 'macht', 'sinn']",0.0,0.0,neutral
6,@jbrunotte Was waren denn deine Beweggründe dafür? Wäre spannend zu wissen. 👍,joscchh,"Bonn, Deutschland",Germany,de,"['jbrunott', 'wa', 'beweggrund', 'dafur', 'spannend', 'wiss']",0.2333333333333333,0.0,positive
7,"Wofür nutzt du #Linkedin am liebsten?

[Natürlich darfst du auch deine persönliche Meinung als Antworttweet ergänzen.]",joscchh,"Bonn, Deutschland",Germany,de,"['wofur', 'nutzt', 'linkedin', 'liebstennatur', 'darf', 'person', 'meinung', 'al', 'antworttweet', 'erganz']",0.35,0.0,positive
9,"RT @barbara_bonn: Den Architekten von Urban Soul empfehle ich das Buch „Städte für Menschen“ (Jan Gehl) oder dieses Foto: linke Seite ❌, re…",joscchh,"Bonn, Deutschland",Germany,de,"['architekt', 'urban', 'soul', 'empfehl', 'buch', 'stadt', 'fur', 'mensch', 'jan', 'gehl', 'diesis', 'foto', 'link', 'seit', 're']",-0.7,0.0,negative
10,"„Der Laden von Morgen ist zuerst online und dann erst im zweiten Schritt wird er stationär.“

Spannend die… https://t.co/RJhFC4IV80",joscchh,"Bonn, Deutschland",Germany,de,"['lad', 'morg', 'zuerst', 'onlin', 'erst', 'zweit', 'schritt', 'stationarspann', 'httpstcorjhfciv']",0.7,0.0,positive
13,"Bald gehts los:
@bonnentdecken und ich sprechen heute um 19 Uhr mit euch auf Clubhouse über die ""Zukunft der Bonner… https://t.co/TYfjtnmX0i",joscchh,"Bonn, Deutschland",Germany,de,"['bald', 'geht', 'losbonnentdeck', 'sprech', 'heut', 'uhr', 'clubhous', 'uber', 'zukunft', 'bonn', 'httpstcotyfjtnmxi']",0.0,0.0,neutral
14,"RT @wattbewerb: Hallo liebe neue follower, 🤗👋☀️

willkommen beim Wattbewerb, der solaren Städte-Challenge. Die erste Stadt, die ihre instal…",joscchh,"Bonn, Deutschland",Germany,de,"['hallo', 'lieb', 'neu', 'follow', 'willkomm', 'beim', 'wattbewerb', 'solar', 'stadtechalleng', 'erst', 'stadt', 'instal']",0.5,0.0,positive
15,"RT @sabinvonfischer: Das Feigenblatt des 21. Jahrhunderts hängt an den Hochhäusern

Hype ums Grün auf Hochhäusern: Es ist Spektakel und Kli…",joscchh,"Bonn, Deutschland",Germany,de,"['feigenblatt', 'de', 'jahrhundert', 'hangt', 'hochhausernhyp', 'ums', 'grun', 'aufhochhaus', 'e', 'spektakel', 'kli']",0.0,0.0,neutral
16,"@DejanFreiburg Ja 👍 
Passt auch gut zu meinem heutigen Tweet -&gt; warum Partizipationsprozesse via Social Media so wi… https://t.co/LVHek5bSQh",joscchh,"Bonn, Deutschland",Germany,de,"['dejanfreiburg', 'ja', 'passt', 'gut', 'heutig', 'tweet', 'gt', 'warum', 'partizipationsprozess', 'via', 'social', 'medium', 'wi', 'httpstcolvhekbsqh']",1.0,0.0,positive
17,"RT @DejanFreiburg: These: Je kollaborativer Menschen (im/mit dem Netz) arbeiten, umso mehr verabschieden sie sich vom klassischen Besitzver…",joscchh,"Bonn, Deutschland",Germany,de,"['thes', 'je', 'kollaborativ', 'mensch', 'immit', 'netz', 'arbeit', 'umso', 'mehr', 'verabschied', 'klassisch', 'besitzv']",0.0,1.0,neutral
18,@michael_adler_ @Bonnentdecken @joinClubhouse @Tim_Acht @MaxBiniek @GuidoPfeiffer @BuergerBundBonn @IHK_Bonn… https://t.co/c2LE3oNzkr,joscchh,"Bonn, Deutschland",Germany,de,"['michaeladl', 'bonnentdeck', 'joinclubhous', 'timacht', 'maxbiniek', 'guidopfeiff', 'buergerbundbonn', 'ihkbonn', 'httpstcocleonzkr']",0.0,0.0,neutral
19,@IHK_Bonn @Bonnentdecken @joinClubhouse @Tim_Acht @MaxBiniek @GuidoPfeiffer @BuergerBundBonn @michael_adler_… https://t.co/YC0We5i5gA,joscchh,"Bonn, Deutschland",Germany,de,"['ihkbonn', 'bonnentdeck', 'joinclubhous', 'timacht', 'maxbiniek', 'guidopfeiff', 'buergerbundbonn', 'michaeladl', 'httpstcoycweiga']",0.0,0.0,neutral
20,"Heute nenne ich dir 3 gute Gründe für mehr Partizipationsprozesse via Social Media. 
Hast du dich mit dem Thema sch… https://t.co/S7WxZbCCzt",joscchh,"Bonn, Deutschland",Germany,de,"['heut', 'nenn', 'gut', 'grund', 'fur', 'mehr', 'partizipationsprozess', 'via', 'social', 'medium', 'hast', 'thema', 'sch', 'httpstcoswxzbcczt']",0.25,0.25,positive
41,"RT @MiguelTheGerman: Wir haben gerade 30€ an die Kältehilfe gespendet. Ganz bequem per PayPal von der warmen Couch aus. Nicht viel, aber ic…",jas_abroad,"Berlin, Germany",Germany,de,"['gerad', 'kaltehilf', 'gespendet', 'ganz', 'bequ', 'per', 'paypal', 'warm', 'couch', 'au', 'ic']",0.0,0.3333333333333333,neutral
60,"RT @lind_die: Hört @ManuelaSchwesig eigentlich zu, wenn andere was sagen? Nochmal zum Mitschreiben: Mehr Geld und mehr Bestellung (egal für…",EgonHuschitt,Berlin,Germany,de,"['hort', 'manuelaschwes', 'eigent', 'and', 'wa', 'sag', 'nochmal', 'mitschreib', 'mehr', 'geld', 'mehr', 'bestell', 'egal', 'fur']",0.0,0.5,neutral
61,"@ManuelaSchwesig Enttäuscht kann man höchstens sein, wie sehr Sie zu Russland schweigen!",EgonHuschitt,Berlin,Germany,de,"['manuelaschwes', 'enttauscht', 'hochst', 'russland', 'schweig']",-1.0,0.0,negative
62,"RT @Andreas__Rinke: Zwei Firmen-Aussagen beim ""Impfgipfel"" laut Teilnehmern, die Breite der Debatte abbilden: 1)  ""Mit mehr Geld draufwerfe…",EgonHuschitt,Berlin,Germany,de,"['zwei', 'firmenaussag', 'beim', 'impfgipfel', 'laut', 'teilnehm', 'breit', 'debatt', 'abbild', 'mehr', 'geld', 'draufwerf']",0.0,1.0,neutral
63,"@KristinaFassler Wer sagt denn, dass sie es nicht hat?",EgonHuschitt,Berlin,Germany,de,"['kristinafassl', 'wer', 'sagt', 'e']",0.0,0.0,neutral
64,RT @lind_die: Und dieses Problem ist hausgemacht - von @TschenPe! Schließlich hätten die Dosen für die Zweitimpfungen zurückgelegt werden m…,EgonHuschitt,Berlin,Germany,de,"['diesis', 'probl', 'hausgemacht', 'tschenp', 'schlielich', 'hatt', 'dos', 'fur', 'zweitimpf', 'zuruckgelegt', 'werd', 'm']",0.0,0.0,neutral
65,"RT @BMVg_Bundeswehr: Damit die Schwächsten in unserer Gesellschaft vor #Corona geschützt sind, hilft die #Bundeswehr beim Testen in Alten-…",EgonHuschitt,Berlin,Germany,de,"['schwach', 'gesellschaft', 'corona', 'geschutzt', 'hilft', 'bundeswehr', 'beim', 'test', 'alt']",0.7,0.0,positive
66,@P_Groeschel Erzieher und Lehrer sind bereits mit einer erhöhten Priorität versehen.,EgonHuschitt,Berlin,Germany,de,"['pgroeschel', 'erzieh', 'lehr', 'bereit', 'erhoht', 'prioritat', 'verseh']",0.0,0.0,neutral
67,"Es gibt bisher keinen Impfstoff, der für Kinder/Jugend zugelassen ist. Aber die #FDP ruft, Impf-Vorrang für Kitas u… https://t.co/xxPnZQoLAO",EgonHuschitt,Berlin,Germany,de,"['e', 'gibt', 'bish', 'impfstoff', 'fur', 'kinderjug', 'zugelass', 'fdp', 'ruft', 'impfvorrang', 'fur', 'kitas', 'u', 'httpstcoxxpnzqolao']",0.5,0.0,positive
68,@AliceGreschkow Wo ich seit vielen Jahren um diese Jahreszeit bin und bald auch wieder sein werde; und wo Du mich h… https://t.co/W5IWp7dP0U,EgonHuschitt,Berlin,Germany,de,"['alicegreschkow', 'seit', 'jahr', 'jahreszeit', 'bald', 'wied', 'werd', 'h', 'httpstcowiwpdpu']",0.0,1.0,neutral
69,"RT @MarianBracht: 🛡📲 Die IBuK @akk zeigt heute auf #Clubhouse, wie man den Kanal als Politikerin auch nutzen kann. Kein #CandyCrush &amp; #Tras…",EgonHuschitt,Berlin,Germany,de,"['ibuk', 'akk', 'zeigt', 'heut', 'clubhous', 'kanal', 'al', 'politikerin', 'nutz', 'candycrush', 'amp', 'tras']",0.0,0.0,neutral
70,"@krawallerist @lind_die @svenweizenegger @PaulStrobel @akk Warum sind die Leute, die immer nach Datenschutz rufen, eigentlich bei Twitter?",EgonHuschitt,Berlin,Germany,de,"['krawallerist', 'linddi', 'svenweizenegg', 'paulstrobel', 'akk', 'warum', 'leut', 'imm', 'datenschutz', 'ruf', 'eigent', 'twitt']",0.0,0.0,neutral
71,"#WWFthink von @WWF_Deutschland, @s_kreditpartner und @tonline eben noch bei uns im Studio, jetzt schon auf der… https://t.co/87HZZrmr4F",EgonHuschitt,Berlin,Germany,de,"['wwfthink', 'wwfdeutschland', 'skreditpartn', 'tonlin', 'eben', 'un', 'studio', 'schon', 'httpstcohzzrmrf']",0.0,0.0,neutral
72,"@HugoMuellerVogg @jensspahn @ArminLaschet Man kann etwas bedauern, auch wenn es legitim und damit in Ordnung gewese… https://t.co/9CwA34tGBr",EgonHuschitt,Berlin,Germany,de,"['hugomuellervogg', 'jensspahn', 'arminlaschet', 'bedau', 'e', 'legitim', 'ordnung', 'gewes', 'httpstcocwatgbr']",0.0,0.0,neutral
73,"RT @DuezenTekkal: Es wirkte deplatziert in diesem Format. Was auf einem „normalen“ Parteitag kein Problem gewesen wäre, wirkte hier seltsam…",EgonHuschitt,Berlin,Germany,de,"['e', 'wirkt', 'deplatziert', 'format', 'wa', 'normal', 'parteitag', 'probl', 'gewes', 'wirkt', 'seltsam']",-0.5,0.0,negative
74,"@gegisa @HollsteinM Es war eben keine Fragerunde, sondern eine Aussprache. Das gab es auch bei den vergangenen Part… https://t.co/WG7vN6FT4B",EgonHuschitt,Berlin,Germany,de,"['gegisa', 'hollsteinm', 'e', 'eben', 'fragerund', 'sond', 'aussprach', 'gab', 'e', 'vergang', 'part', 'httpstcowgvnftb']",0.0,0.0,neutral
75,RT @ARD_BaB: Hat @jensspahn bei der Aussprache unfair in die Wahl interveniert? Parteichef @ArminLaschet sieht keine Schuld bei seinem Team…,EgonHuschitt,Berlin,Germany,de,"['jensspahn', 'aussprach', 'unfair', 'wahl', 'interveniert', 'parteichef', 'arminlaschet', 'sieht', 'schuld', 'team']",-0.5,0.0,negative
76,"RT @lind_die: Ich war mittlerweile schon auf einigen Parteitagen. Aber auf noch keinem, auf dem es keine Wortmeldungen/Aussprache nach den…",EgonHuschitt,Berlin,Germany,de,"['mittlerweil', 'schon', 'parteitag', 'e', 'wortmeldungenaussprach']",0.0,0.0,neutral
77,"„Ich freue mich auf analoge Parteitage, auf denen es dann auch wieder mehr Aussprachen anstatt nur einer Fragerunde… https://t.co/6zDCpCbQZd",EgonHuschitt,Berlin,Germany,de,"['freu', 'analog', 'parteitag', 'e', 'wied', 'mehr', 'aussprach', 'anstatt', 'fragerund', 'httpstcozdcpcbqzd']",0.0,1.0,neutral
78,Können wir den Friseurkontakt von Julia Klöckner haben bitte? #lockdown,EgonHuschitt,Berlin,Germany,de,"['konn', 'friseurkontakt', 'julia', 'klockn', 'bitt', 'lockdown']",0.5,0.0,positive
79,Dem Redenschreiber von #Merz kann Deutschland wieder mal sehr dankbar sein. 😉 #wegenmorgen,EgonHuschitt,Berlin,Germany,de,"['redenschreib', 'merz', 'deutschland', 'wied', 'mal', 'dankbar', 'wegenmorg']",0.5,0.0,positive
82,RT @Int_Politik: 📢 #EU-Fans aufgepasst! Ab heute sind zur 🇩🇪 #Ratspräsidentschaft alle aktuellen #InternationalePolitik-Artikel zum Thema f…,EmiliaNeuber,"Berlin, Germany",Germany,de,"['eufan', 'aufgepasst', 'ab', 'heut', 'ratsprasidentschaft', 'all', 'aktuell', 'internationalepolitikartikel', 'thema', 'f']",0.0,0.0,neutral
83,"RT @Jochen: Endlich! @maithi_nk, x-fach ausgezeichnete Wissenschaftjournalistin, Youtuberin, TV-Moderatorin, Bestseller-Autorin war der mei…",EmiliaNeuber,"Berlin, Germany",Germany,de,"['endlich', 'maithink', 'xfach', 'ausgezeichnet', 'wissenschaftjournalistin', 'youtuberin', 'tvmoderatorin', 'bestsellerautorin', 'mei']",0.0,0.0,neutral
84,Welche Rolle spielt das europäische Cloudprojekt Gaia-X im Zusammenhang mit dem Streben nach „Europäischer Digitale… https://t.co/nGuH8bJ9bb,EmiliaNeuber,"Berlin, Germany",Germany,de,"['welch', 'roll', 'spielt', 'europa', 'cloudprojekt', 'gaiax', 'zusammenhang', 'streb', 'europa', 'digital', 'httpstconguhbjbb']",0.0,0.0,neutral
85,RT @KaanSahinDe: Für die neue Ausgabe der @Int_Politik  schreiben @EmiliaNeuber und ich über das europäische Cloudproject Gaia-x und setzen…,EmiliaNeuber,"Berlin, Germany",Germany,de,"['fur', 'neu', 'ausgab', 'intpolit', 'schreib', 'emilianeub', 'uber', 'europa', 'cloudproject', 'gaiax', 'setz']",0.0,0.0,neutral
120,@reinicke_tim @NiklasSchoernig 👍🏻👍🏻,E_Dorokhova,"Geneva, Switzerland",Germany,de,"['reinicketim', 'niklasschoern']",0.0,0.0,neutral
